iter	RMSE
0	65264.0176
1	63230.28918
2	61147.98032
3	59255.30088
4	57380.87873
5	55498.46856
6	53658.16468
7	52069.1226
8	50402.76177
9	48858.97882
10	47466.11864
11	46098.42121
12	44844.76051
13	43586.43513
14	42411.86554
15	41308.23634
16	40182.65725
17	39248.348
18	38165.60403
19	37145.89734
20	36367.60331
21	35501.5763
22	34729.15348
23	34026.89656
24	33215.0051
25	32488.50737
26	31838.95077
27	31173.73949
28	30548.87057
29	30008.07987
30	29520.71025
31	28942.35277
32	28472.43179
33	27964.30441
34	27546.88543
35	27113.19808
36	26676.05535
37	26276.96075
38	25876.43448
39	25469.07
40	25058.10162
41	24718.66189
42	24384.59381
43	24102.81638
44	23815.65111
45	23566.50607
46	23306.11965
47	23036.15482
48	22808.01896
49	22595.14487
50	22406.32592
51	22188.2782
52	21979.03001
53	21808.43083
54	21614.69421
55	21427.67844
56	21270.62662
57	21082.27092
58	20888.57484
59	20702.40686
60	20526.36605
61	20374.9474
62	20273.73858
63	20124.3261
64	19996.75301
65	19854.8888
66	19746.18935
67	19651.43076
68	19535.59622
69	19422.24905
70	19321.2819
71	19219.01779
72	19141.42591
73	19029.16422
74	18933.56563
75	18838.30127
76	18743.85884
77	18644.09484
78	18537.34555
79	18448.30954
80	18377.55969
81	18278.10995
82	18197.31907
83	18113.1533
84	18022.68494
85	17952.04068
86	17870.46287
87	17775.53407
88	17707.33221
89	17641.95715
90	17558.83942
91	17476.4624
92	17409.34917
93	17359.04364
94	17293.59367
95	17230.61877
96	17154.3267
97	17091.72122
98	17012.69622
99	16934.92124
100	16869.87337
101	16818.36674
102	16767.74379
103	16712.58008
104	16653.76966
105	16612.83732
106	16551.6794
107	16515.23571
108	16458.32803
109	16414.01866
110	16360.47025
111	16328.39845
112	16282.4881
113	16232.97631
114	16200.81999
115	16151.04197
116	16088.09928
117	16043.99141
118	15987.01785
119	15953.56543
120	15913.828
121	15877.89779
122	15835.76243
123	15789.79921
124	15745.09931
125	15700.27517
126	15661.30923
127	15614.68466
128	15585.29298
129	15544.16065
130	15499.13189
131	15462.73111
132	15428.11237
133	15400.98487
134	15383.74967
135	15337.40271
136	15300.42243
137	15256.98144
138	15213.16978
139	15168.44974
140	15136.9379
141	15101.09544
142	15065.29968
143	15027.07159
144	15008.4627
145	14968.82282
146	14960.56386
147	14942.60571
148	14899.01299
149	14859.60576
150	14839.32821
151	14793.09686
152	14741.91602
153	14705.44759
154	14695.84171
155	14649.31949
156	14611.17841
157	14575.46467
158	14537.08659
159	14507.61156
160	14475.63594
161	14453.12819
162	14414.70424
163	14371.21692
164	14328.71871
165	14291.27429
166	14254.07815
167	14225.32738
168	14197.75103
169	14159.4662
170	14127.88791
171	14082.40316
172	14042.40065
173	14005.18505
174	13999.43576
175	13968.21569
176	13919.2005
177	13895.3144
178	13872.11566
179	13821.03118
180	13794.11387
181	13759.91786
182	13753.30201
183	13724.14855
184	13682.51766
185	13651.78656
186	13629.77772
187	13577.1049
188	13536.92449
189	13502.35252
190	13470.65881
191	13437.23739
192	13415.34217
193	13410.20351
194	13385.50987
195	13362.94562
196	13328.038
197	13297.91926
198	13292.63654
199	13266.05277
200	13228.64724
201	13199.51633
202	13179.27169
203	13152.65855
204	13124.06516
205	13093.99092
206	13058.57249
207	13024.99773
208	12995.72566
209	12959.70338
210	12922.69251
211	12894.19373
212	12862.70354
213	12840.49323
214	12801.73601
215	12773.38369
216	12746.749
217	12730.9437
218	12704.7762
219	12671.17978
220	12650.84092
221	12622.9318
222	12598.81127
223	12566.34464
224	12541.3511
225	12511.0505
226	12483.18577
227	12460.83236
228	12427.99456
229	12379.42295
230	12358.6633
231	12332.32701
232	12307.63148
233	12276.24812
234	12272.10615
235	12245.12816
236	12222.92439
237	12197.03196
238	12174.55507
239	12155.73163
240	12139.28608
241	12110.08089
242	12079.87731
243	12049.09253
244	12022.95133
245	11993.67227
246	11965.9448
247	11949.37258
248	11933.01769
249	11908.84471
250	11885.78113
251	11858.4109
252	11820.89188
253	11817.79321
254	11788.67678
255	11764.18408
256	11741.31282
257	11717.4315
258	11690.63383
259	11676.86179
260	11657.26939
261	11627.57854
262	11608.62248
263	11596.15528
264	11561.22338
265	11536.9109
266	11502.01709
267	11487.12107
268	11473.34894
269	11450.0785
270	11421.64063
271	11391.39269
272	11355.94068
273	11323.68815
274	11302.45293
275	11275.6697
276	11253.70165
277	11227.84785
278	11206.52893
279	11162.08363
280	11146.0365
281	11128.82057
282	11105.34326
283	11090.10509
284	11071.79791
285	11040.21695
286	11019.04579
287	10995.26984
288	10969.62008
289	10952.30198
290	10939.3326
291	10935.69455
292	10921.85519
293	10897.86253
294	10875.45241
295	10847.77516
296	10824.49574
297	10805.98231
298	10787.52028
299	10768.02509
300	10757.2998
301	10740.52906
302	10726.48031
303	10697.38492
304	10692.62087
305	10681.58578
306	10672.23546
307	10644.57751
308	10628.55816
309	10603.09364
310	10590.53795
311	10575.61543
312	10550.61703
313	10525.78291
314	10522.80726
315	10496.82079
316	10483.10246
317	10466.44631
318	10447.80721
319	10429.75164
320	10412.74862
321	10391.34335
322	10363.5839
323	10346.25732
324	10326.75428
325	10310.81563
326	10290.25628
327	10261.62402
328	10232.44216
329	10214.89749
330	10205.71716
331	10176.47487
332	10156.89843
333	10140.01388
334	10119.25957
335	10103.37872
336	10089.95439
337	10079.62105
338	10077.75821
339	10059.00465
340	10039.81721
341	10031.33373
342	10008.24163
343	9996.067386
344	9962.988852
345	9925.546554
346	9922.505229
347	9905.800543
348	9890.850998
349	9864.139686
350	9846.43951
351	9827.598124
352	9814.832816
353	9796.126137
354	9779.553595
355	9759.033064
356	9740.778747
357	9728.773856
358	9708.822226
359	9697.789563
360	9688.103443
361	9674.592486
362	9650.998103
363	9626.497147
364	9624.545403
365	9608.91166
366	9597.255323
367	9579.494353
368	9561.629334
369	9543.920358
370	9522.527846
371	9500.721555
372	9478.900187
373	9471.992537
374	9463.770837
375	9448.195516
376	9438.114929
377	9424.884099
378	9406.035382
379	9389.638567
380	9377.475921
381	9357.123134
382	9338.001733
383	9323.891999
384	9314.741663
385	9301.105727
386	9286.839064
387	9270.882879
388	9252.149137
389	9233.600447
390	9221.848418
391	9210.177074
392	9195.969923
393	9186.647199
394	9169.698462
395	9160.822899
396	9145.988703
397	9129.244268
398	9110.521666
399	9091.635739
400	9077.874653
401	9062.338313
402	9045.413379
403	9037.857707
404	9031.336591
405	9013.214537
406	8998.985928
407	8994.141738
408	8985.673141
409	8977.481345
410	8961.884176
411	8948.692086
412	8939.656264
413	8919.668162
414	8901.434719
415	8895.496201
416	8876.586547
417	8863.569012
418	8847.956189
419	8826.612639
420	8796.546536
421	8786.62998
422	8770.623637
423	8760.260766
424	8744.431059
425	8729.279865
426	8704.141188
427	8696.617706
428	8678.839202
429	8671.607198
430	8662.174209
431	8653.108943
432	8644.763954
433	8635.179435
434	8622.335653
435	8611.25453
436	8602.773446
437	8593.558676
438	8582.389499
439	8566.852
440	8551.488478
441	8538.844532
442	8534.521603
443	8518.416037
444	8516.62426
445	8505.990209
446	8502.442807
447	8486.610845
448	8472.802817
449	8458.863667
450	8443.805993
451	8434.940778
452	8427.278483
453	8414.62692
454	8404.148876
455	8387.08639
456	8362.123687
457	8339.175614
458	8330.247569
459	8327.841897
460	8317.803336
461	8310.426096
462	8309.666692
463	8297.083892
464	8295.605275
465	8281.677334
466	8276.256247
467	8254.199398
468	8239.264531
469	8217.12682
470	8201.130159
471	8194.030312
472	8176.127964
473	8157.795423
474	8142.510194
475	8124.831318
476	8106.689103
477	8091.290384
478	8075.708882
479	8050.233874
480	8038.635112
481	8026.327155
482	8007.482336
483	7993.703263
484	7979.756954
485	7969.270176
486	7963.801446
487	7953.985009
488	7946.626207
489	7936.279774
490	7917.841248
491	7898.871648
492	7882.399816
493	7870.357542
494	7860.627373
495	7847.820922
496	7846.081215
497	7832.909676
498	7822.019827
499	7810.088769
