iter	Passed	Remaining
0	21	10645
1	33	8277
2	43	7272
3	52	6519
4	60	6011
5	70	5797
6	81	5745
7	92	5696
8	102	5591
9	111	5444
10	120	5358
11	128	5223
12	137	5150
13	145	5039
14	154	5002
15	163	4935
16	173	4916
17	182	4879
18	191	4855
19	201	4826
20	208	4767
21	218	4757
22	227	4727
23	237	4701
24	246	4676
25	254	4643
26	263	4619
27	272	4587
28	282	4594
29	292	4575
30	302	4581
31	312	4569
32	321	4553
33	332	4560
34	341	4542
35	351	4531
36	360	4509
37	368	4476
38	379	4486
39	389	4474
40	400	4478
41	408	4455
42	417	4432
43	424	4402
44	435	4399
45	444	4389
46	453	4374
47	463	4362
48	475	4379
49	485	4370
50	496	4367
51	505	4353
52	515	4345
53	526	4346
54	534	4326
55	546	4335
56	559	4347
57	568	4336
58	579	4335
59	591	4334
60	602	4332
61	623	4404
62	635	4410
63	648	4414
64	664	4444
65	675	4440
66	684	4421
67	694	4411
68	703	4392
69	714	4391
70	725	4382
71	734	4368
72	744	4357
73	755	4351
74	766	4342
75	777	4336
76	789	4336
77	800	4330
78	811	4323
79	821	4314
80	834	4316
81	844	4306
82	855	4295
83	863	4278
84	876	4280
85	888	4275
86	898	4263
87	911	4268
88	923	4265
89	932	4247
90	940	4228
91	950	4214
92	958	4195
93	968	4183
94	977	4167
95	986	4152
96	994	4131
97	1003	4117
98	1012	4099
99	1024	4098
100	1035	4091
101	1045	4079
102	1056	4072
103	1068	4066
104	1076	4048
105	1086	4038
106	1094	4019
107	1103	4003
108	1110	3985
109	1120	3971
110	1131	3963
111	1141	3952
112	1150	3941
113	1158	3924
114	1168	3912
115	1179	3905
116	1189	3894
117	1200	3885
118	1209	3873
119	1218	3859
120	1229	3851
121	1239	3840
122	1248	3827
123	1256	3810
124	1265	3797
125	1276	3788
126	1287	3780
127	1297	3771
128	1305	3755
129	1315	3745
130	1324	3731
131	1335	3723
132	1344	3709
133	1353	3696
134	1365	3693
135	1378	3688
136	1387	3676
137	1397	3667
138	1408	3658
139	1417	3645
140	1427	3635
141	1436	3620
142	1446	3610
143	1457	3602
144	1467	3592
145	1477	3582
146	1485	3567
147	1496	3560
148	1507	3551
149	1516	3537
150	1525	3526
151	1534	3513
152	1548	3511
153	1561	3508
154	1572	3500
155	1582	3488
156	1592	3480
157	1605	3475
158	1614	3462
159	1626	3455
160	1640	3455
161	1651	3446
162	1661	3435
163	1675	3432
164	1730	3513
165	1761	3543
166	1845	3679
167	1865	3686
168	1911	3743
169	1945	3776
170	1967	3784
171	1976	3768
172	1985	3753
173	1994	3735
174	2003	3720
175	2012	3704
176	2022	3689
177	2030	3673
178	2040	3660
179	2050	3645
180	2061	3633
181	2076	3627
182	2086	3613
183	2094	3597
184	2104	3583
185	2115	3570
186	2124	3555
187	2135	3544
188	2145	3530
189	2158	3521
190	2170	3511
191	2182	3500
192	2191	3486
193	2202	3473
194	2212	3460
195	2221	3444
196	2231	3432
197	2240	3417
198	2250	3404
199	2262	3393
200	2273	3381
201	2283	3368
202	2294	3357
203	2303	3342
204	2313	3329
205	2322	3314
206	2332	3302
207	2345	3293
208	2356	3281
209	2368	3270
210	2379	3258
211	2389	3245
212	2399	3232
213	2409	3219
214	2418	3206
215	2429	3194
216	2438	3180
217	2448	3167
218	2458	3154
219	2467	3140
220	2478	3129
221	2488	3115
222	2499	3104
223	2510	3092
224	2519	3079
225	2530	3068
226	2541	3056
227	2551	3043
228	2561	3030
229	2571	3018
230	2582	3007
231	2592	2994
232	2600	2979
233	2609	2966
234	2618	2952
235	2630	2942
236	2640	2929
237	2648	2915
238	2658	2902
239	2666	2888
240	2680	2880
241	2698	2876
242	2708	2864
243	2719	2852
244	2728	2839
245	2738	2827
246	2747	2814
247	2756	2801
248	2764	2786
249	2773	2773
250	2781	2759
251	2792	2748
252	2802	2736
253	2811	2722
254	2821	2710
255	2830	2697
256	2839	2684
257	2848	2671
258	2856	2658
259	2865	2645
260	2875	2632
261	2886	2622
262	2898	2611
263	2909	2601
264	2920	2590
265	2931	2579
266	2943	2568
267	2954	2557
268	2966	2547
269	2974	2533
270	2984	2521
271	2993	2508
272	3005	2498
273	3014	2486
274	3023	2473
275	3033	2461
276	3042	2449
277	3054	2438
278	3063	2426
279	3071	2413
280	3082	2402
281	3092	2390
282	3102	2378
283	3111	2366
284	3120	2353
285	3129	2341
286	3137	2328
287	3147	2316
288	3156	2304
289	3164	2291
290	3174	2279
291	3183	2267
292	3192	2255
293	3201	2243
294	3210	2231
295	3220	2219
296	3230	2208
297	3240	2196
298	3249	2184
299	3259	2172
300	3267	2160
301	3277	2148
302	3285	2136
303	3295	2124
304	3304	2112
305	3314	2101
306	3331	2094
307	3342	2083
308	3351	2071
309	3361	2060
310	3371	2048
311	3380	2036
312	3389	2025
313	3399	2013
314	3409	2002
315	3420	1991
316	3428	1979
317	3438	1967
318	3446	1955
319	3455	1943
320	3465	1932
321	3475	1921
322	3484	1909
323	3493	1897
324	3503	1886
325	3511	1874
326	3521	1862
